Generation;Pokemon Id;Pokedex Number;Pokemon Name;Classification;Alternate Form Name;Original Pokemon ID;Legendary Type;Pokemon Height;Pokemon Weight;Primary Type;Secondary Type;Primary Ability;Primary Ability Description;Secondary Ability;Secondary Ability Description;Hidden Ability;Hidden Ability Description;Special Event Ability;Special Event Ability Description;Male Ratio;Female Ratio;Base Happiness;Game(s) of Origin;Health Stat;Attack Stat;Defense Stat;Special Attack Stat;Special Defense Stat;Speed Stat;Base Stat Total;Health EV;Attack EV;Defense EV;Special Attack EV;Special Defense EV;Speed EV;EV Yield Total;Catch Rate;Experience Growth;Experience Growth Total;Primary Egg Group;Secondary Egg Group;Egg Cycle Count;Pre-Evolution Pokemon Id;Evolution Details;Region;Pre-Evolution Pokemon Id.1;Color
1;1;1;"""Bulbasaur""";"""Seed Pokémon""";;;nan;0.7;6.9;"""Grass""";"""Poison""";"""Overgrow""";"""Powers up Grass-type moves when the Pokémon's HP is low.""";;;"""Chlorophyll""";"""Boosts the Pokémon's Speed stat in harsh sunlight.""";;;87.5;12.5;50;"""Red""";45;49;49;65;65;45;318;0;0;0;1;0;0;1;45;"""Medium Slow""";1059860;"""Monster""";"""Grass""";20;;;Kanto;;red
1;2;2;"""Ivysaur""";"""Seed Pokémon""";;;nan;1.0;13.0;"""Grass""";"""Poison""";"""Overgrow""";"""Powers up Grass-type moves when the Pokémon's HP is low.""";;;"""Chlorophyll""";"""Boosts the Pokémon's Speed stat in harsh sunlight.""";;;87.5;12.5;50;"""Red""";60;62;63;80;80;60;405;0;0;0;1;1;0;2;45;"""Medium Slow""";1059860;"""Monster""";"""Grass""";20;1.0;"""Level 16""";Kanto;1.0;red
1;3;3;"""Venusaur""";"""Seed Pokémon""";;;nan;2.0;100.0;"""Grass""";"""Poison""";"""Overgrow""";"""Powers up Grass-type moves when the Pokémon's HP is low.""";;;"""Chlorophyll""";"""Boosts the Pokémon's Speed stat in harsh sunlight.""";;;87.5;12.5;50;"""Red""";80;82;83;100;100;80;525;0;0;0;2;1;0;3;45;"""Medium Slow""";1059860;"""Monster""";"""Grass""";20;2.0;"""Level 32""";Kanto;2.0;red
1;5;4;"""Charmander""";"""Lizard Pokémon""";;;nan;0.6;8.5;"""Fire""";;"""Blaze""";"""Powers up Fire-type moves when the Pokémon's HP is low.""";;;"""Solar Power""";"""Boosts the Sp. Atk stat in harsh sunlight, but HP decreases every turn.""";;;87.5;12.5;50;"""Red""";39;52;43;60;50;65;309;0;0;0;0;0;1;1;45;"""Medium Slow""";1059860;"""Monster""";"""Dragon""";20;;;Kanto;;red
1;6;5;"""Charmeleon""";"""Flame Pokémon""";;;nan;1.1;19.0;"""Fire""";;"""Blaze""";"""Powers up Fire-type moves when the Pokémon's HP is low.""";;;"""Solar Power""";"""Boosts the Sp. Atk stat in harsh sunlight, but HP decreases every turn.""";;;87.5;12.5;50;"""Red""";58;64;58;80;65;80;405;0;0;0;1;0;1;2;45;"""Medium Slow""";1059860;"""Monster""";"""Dragon""";20;5.0;"""Level 16""";Kanto;5.0;red
1;7;6;"""Charizard""";"""Flame Pokémon""";;;nan;1.7;90.5;"""Fire""";"""Flying""";"""Blaze""";"""Powers up Fire-type moves when the Pokémon's HP is low.""";;;"""Solar Power""";"""Boosts the Sp. Atk stat in harsh sunlight, but HP decreases every turn.""";;;87.5;12.5;50;"""Red""";78;84;78;109;85;100;534;0;0;0;3;0;0;3;45;"""Medium Slow""";1059860;"""Monster""";"""Dragon""";20;6.0;"""Level 36""";Kanto;6.0;red
1;10;7;"""Squirtle""";"""Tiny Turtle Pokémon""";;;nan;0.5;9.0;"""Water""";;"""Torrent""";"""Powers up Water-type moves when the Pokémon's HP is low.""";;;"""Rain Dish""";"""The Pokémon gradually regains HP in rain.""";;;87.5;12.5;50;"""Red""";44;48;65;50;64;43;314;0;0;1;0;0;0;1;45;"""Medium Slow""";1059860;"""Monster""";"""Water 1""";20;;;Kanto;;red
1;11;8;"""Wartortle""";"""Turtle Pokémon""";;;nan;1.0;22.5;"""Water""";;"""Torrent""";"""Powers up Water-type moves when the Pokémon's HP is low.""";;;"""Rain Dish""";"""The Pokémon gradually regains HP in rain.""";;;87.5;12.5;50;"""Red""";59;63;80;65;80;58;405;0;0;1;0;1;0;2;45;"""Medium Slow""";1059860;"""Monster""";"""Water 1""";20;10.0;"""Level 16""";Kanto;10.0;red
1;12;9;"""Blastoise""";"""Shellfish Pokémon""";;;nan;1.6;85.5;"""Water""";;"""Torrent""";"""Powers up Water-type moves when the Pokémon's HP is low.""";;;"""Rain Dish""";"""The Pokémon gradually regains HP in rain.""";;;87.5;12.5;50;"""Red""";79;83;100;85;105;78;530;0;0;0;0;3;0;3;45;"""Medium Slow""";1059860;"""Monster""";"""Water 1""";20;11.0;"""Level 36""";Kanto;11.0;red
1;32;10;"""Caterpie""";"""Worm Pokémon""";;;nan;0.3;2.9;"""Bug""";;"""Shield Dust""";"""This Pokémon's dust blocks the additional effects of attacks taken.""";;;"""Run Away""";"""Enables a sure getaway from wild Pokémon.""";;;50.0;50.0;50;"""Red""";45;30;35;20;20;45;195;1;0;0;0;0;0;1;255;"""Medium Fast""";1000000;"""Bug""";;15;;;Kanto;;red
